類型代號,基金統編,基金名稱,手續費_累積金額,手續費_比率,交易稅_累積金額,交易稅_比率,經理費_累積金額,經理費_比率,保管費_累積金額,保管費_比率,其他項費用_累積金額,其他項費用_比率,合計_累積金額,合計_比率
3,21100568,國際台灣基金,11800162,0.24%,17331345,0.35%,77116600,1.55%,8572453,0.17%,38798391,0.78%,153618951,3.09%
2,965469,國際第一基金,804102,1.62%,1207283,2.43%,995852,2.01%,132779,0.27%,240957,0.49%,3380973,6.81%
2,1050148,國際國民基金,6502543,1.60%,9752736,2.40%,7468604,1.84%,1022632,0.25%,543196,0.13%,25289711,6.23%
4,992769,國際全球基金,26392332,1.24%,2193427,0.10%,33463529,1.57%,5815806,0.27%,5708665,0.27%,73573759,3.44%
5,971976,國際萬全基金,6670503,0.75%,10049948,1.13%,11440064,1.29%,2000000,0.22%,587443,0.07%,30747958,3.45%
6,1013101,國際萬寶基金,0,0.00%,0,0.00%,147038543,0.35%,42011006,0.10%,7040844,0.02%,196090393,0.47%
2,92003790,國際精選二十基金,9871207,1.27%,14118700,1.82%,9344515,1.20%,872155,0.11%,384063,0.05%,34590640,4.45%
6,92023183,國際萬能基金,0,0.00%,0,0.00%,92793954,0.44%,26512553,0.12%,11506013,0.05%,130812520,0.61%
3,97979257,國際台灣祥龍基金,385202,0.96%,581424,1.45%,722254,1.80%,72230,0.18%,863412,2.16%,2624522,6.55%
6,97991702,國際萬華基金,0,0.00%,0,0.00%,108639096,0.30%,18906512,0.05%,11258348,0.03%,138803956,0.38%
7,20095341,國際萬通基金,0,0.00%,0,0.00%,9324078,0.90%,1025651,0.10%,4005,0.00%,10353734,1.00%
2,81584996,國際中小基金,13284875,2.07%,20132471,3.13%,13563165,2.11%,1175488,0.18%,311015,0.05%,48467014,7.55%
2,73991751,國際電子基金,16150595,1.16%,23773756,1.71%,26881094,1.93%,2867312,0.21%,268050,0.02%,69940807,5.02%
2,17606299,國際金龍基金,10140428,1.44%,15166537,2.15%,12740993,1.81%,1194473,0.17%,1815,0.00%,39244246,5.57%
4,14699772,國際生命科學基金,4053376,1.37%,109761,0.04%,6686516,2.26%,1022646,0.35%,63833,0.02%,11936132,4.04%
3,986268,荷銀福爾摩莎基金,3959903,1.18%,4672788,1.40%,6959399,2.08%,695947,0.21%,3505155,1.05%,19793192,5.92%
2,988316,荷銀光華基金,3968065,1.09%,4355640,1.20%,6673773,1.84%,889847,0.24%,388115,0.11%,16275440,4.48%
1,968493,荷銀鴻運基金,5325972,0.89%,5758808,0.96%,10839078,1.81%,1446103,0.24%,2812496,0.47%,26182457,4.36%
4,1021518,荷銀環球基金,1247260,0.16%,325988,0.04%,12481608,1.59%,2837277,0.36%,3535306,0.45%,20427439,2.60%
5,971103,荷銀鴻利基金,4909015,0.67%,5148637,0.70%,10578649,1.44%,1542713,0.21%,671571,0.09%,22850585,3.12%
3,1012861,荷銀福爾摩莎成長基金,18360420,1.48%,22540362,1.82%,42619910,3.44%,2841319,0.23%,10604688,0.86%,96966699,7.82%
6,1013051,荷銀鴻揚基金,0,0.00%,0,0.00%,39569959,0.22%,12182364,0.07%,123220,0.00%,51875543,0.29%
2,1031564,荷銀積極成長基金,4642761,0.70%,4606866,0.70%,13004277,1.96%,1300430,0.20%,419827,0.06%,23974161,3.62%
