類型代號,基金統編,基金名稱,手續費_累積金額,手續費_比率,交易稅_累積金額,交易稅_比率,股票ETF及指數型基金申購/買回交易費_累積金額,股票ETF及指數型基金申購/買回交易費_比率,經理費_累積金額,經理費_比率,保管費_累積金額,保管費_比率,保證費_累積金額,保證費_比率,其他項費用_累積金額,其他項費用_比率,合計_累積金額,合計_比率
AA1,965469,兆豐第一基金,37210,0.02%,78968,0.04%,0,0.00%,447583,0.24%,44758,0.02%,0,0.00%,67804,0.04%,676323,0.37%
AA1,1050148,兆豐國民基金 ((基金之配息來源可能為收益平準金)),820204,0.11%,1325946,0.17%,0,0.00%,1882859,0.24%,214413,0.03%,0,0.00%,69496,0.01%,4312918,0.55%
AA2,992769,兆豐全球基金,755202,0.05%,0,0.00%,0,0.00%,3576781,0.24%,619977,0.04%,0,0.00%,71004,0.00%,5022964,0.34%
AB1,971976,兆豐萬全基金,63700,0.01%,111661,0.02%,0,0.00%,893110,0.19%,89422,0.02%,0,0.00%,70516,0.02%,1228409,0.27%
AA1,73991751,兆豐電子基金,645104,0.06%,1009691,0.09%,0,0.00%,2699299,0.24%,287928,0.03%,0,0.00%,17784,0.00%,4659806,0.42%
AD1,18044796,兆豐寶鑽貨幣市場基金,0,0.00%,0,0.00%,0,0.00%,15265224,0.02%,5432745,0.01%,0,0.00%,345917,0.00%,21043886,0.03%
AA2,14699772,兆豐生命科學基金,7609,0.00%,0,0.00%,0,0.00%,599203,0.27%,91642,0.04%,0,0.00%,21004,0.01%,719458,0.33%
AA1,10341837,兆豐豐台灣基金,610864,0.08%,986952,0.13%,0,0.00%,1958558,0.26%,183613,0.02%,0,0.00%,17784,0.00%,3757771,0.50%
AD2,38522710,兆豐人民幣貨幣市場基金,0,0.00%,0,0.00%,0,0.00%,291752,0.06%,80235,0.02%,0,0.00%,25019,0.01%,397006,0.09%
AA2,38592074,兆豐中國A股基金,673936,0.02%,329585,0.01%,0,0.00%,14237115,0.32%,1850824,0.04%,0,0.00%,102281,0.00%,17193741,0.39%
AD2,42406642,兆豐美元貨幣市場基金,0,0.00%,0,0.00%,0,0.00%,117306,0.02%,54739,0.01%,0,0.00%,20025,0.00%,192070,0.04%
AH11,42482107,兆豐臺灣藍籌30ETF基金,227129,0.01%,447915,0.01%,358365,0.01%,2016980,0.05%,220607,0.01%,0,0.00%,302546,0.01%,2856812,0.07%
AA2,76303709,兆豐中國內需A股基金,770466,0.06%,313628,0.02%,0,0.00%,4252324,0.32%,552801,0.04%,0,0.00%,75291,0.01%,5964510,0.45%
AA1,88090408,兆豐台灣先進通訊基金,283152,0.06%,455339,0.10%,0,0.00%,1216013,0.26%,114002,0.02%,0,0.00%,19436,0.00%,2087942,0.44%
AC23,88119427,兆豐新興市場短期非投資等級債券基金 (本基金之配息來源可能為本金),0,0.00%,0,0.00%,0,0.00%,1374693,0.27%,210248,0.04%,0,0.00%,21310,0.00%,1606251,0.32%
AA1,88198077,兆豐台灣金傳精選股息基金,75740,0.03%,174586,0.07%,0,0.00%,643493,0.26%,60329,0.02%,0,0.00%,19426,0.01%,973574,0.39%
AA2,88277760,兆豐全球元宇宙科技基金,79835,0.02%,0,0.00%,0,0.00%,1556707,0.32%,217939,0.05%,0,0.00%,21880,0.00%,1876361,0.39%
AH21,88317812,兆豐洲際半導體ETF基金,100296,0.02%,0,0.00%,75109,0.01%,913056,0.14%,214834,0.03%,0,0.00%,155016,0.02%,1308093,0.20%
AH11,88321560,兆豐特選台灣晶圓製造ETF基金,343905,0.09%,16080,0.00%,367630,0.09%,290477,0.07%,25820,0.01%,0,0.00%,118920,0.03%,427572,0.11%
AG,88342220,兆豐新加坡交易所房地產收益基金 (本基金之配息來源可能為本金),54123,0.04%,15454,0.01%,0,0.00%,415434,0.29%,60006,0.04%,0,0.00%,23961,0.02%,568978,0.40%
AH11,88351249,兆豐台灣產業龍頭存股等權重ETF基金 (本基金之配息來源可能為收益平準金),450323,0.03%,1213586,0.08%,1402189,0.09%,1166833,0.07%,103714,0.01%,0,0.00%,221343,0.01%,1753610,0.11%
AJ2,88394063,兆豐日本優勢多重資產基金 (本基金之配息來源可能為本金),516813,0.08%,0,0.00%,0,0.00%,1803291,0.29%,260476,0.04%,0,0.00%,25371,0.00%,2605951,0.42%
AH11,93111473,兆豐台灣ESG永續高股息等權重 ETF 基金 (基金之配息來源可能為收益平準金且本基金並無保證收益及配息),528414,0.02%,1584791,0.05%,1924180,0.06%,2510250,0.07%,223134,0.01%,0,0.00%,326074,0.01%,3248483,0.09%
AE22,93150643,兆豐全球債券ETF策略收益組合基金 (本基金之配息來源可能為本金),39948,0.01%,0,0.00%,0,0.00%,574084,0.15%,84602,0.02%,0,0.00%,19441,0.01%,718075,0.19%
AJ2,93106751,兆豐收益增長多重資產基金 (本基金之配息來源可能為本金),235063,0.01%,6642,0.00%,0,0.00%,6552066,0.29%,873610,0.04%,0,0.00%,19411,0.00%,7686792,0.34%
AH11,93211796,兆豐台灣電子成長高息等權重ETF基金 (基金之配息來源可能為收益平準金且本基金並無保證收益及配息),119035,0.02%,325432,0.05%,393124,0.06%,518349,0.07%,46074,0.01%,0,0.00%,43878,0.01%,659644,0.09%
AH22,512527,兆豐美國企業優選投資級公司債ETF基金 (基金之配息來源可能為收益平準金),0,0.00%,0,0.00%,0,0.00%,1542810,0.05%,514269,0.02%,0,0.00%,278818,0.01%,2335897,0.07%
AJ2,526748,兆豐ESG台美永續雙盈多重資產基金 (本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),191992,0.03%,235565,0.04%,0,0.00%,1821071,0.27%,278519,0.04%,0,0.00%,21029,0.00%,2548176,0.38%
AJ2,586132,兆豐全球尖端科技多重資產基金 (本基金之配息來源可能為本金),553997,0.09%,0,0.00%,0,0.00%,1717640,0.29%,248103,0.04%,0,0.00%,19411,0.00%,2539151,0.43%
AE23,645809,兆豐雙動能組合基金 (本基金有相當比重投資於非投資等級之高風險債券基金),3009295,0.08%,305507,0.01%,0,0.00%,5731817,0.16%,804423,0.02%,0,0.00%,24331,0.00%,9875373,0.28%
AH26,608234,兆豐台美動能股債平衡ETF基金 (基金之配息來源可能為收益平準金),180967,0.04%,577889,0.13%,806097,0.18%,571905,0.13%,128678,0.03%,0,0.00%,147978,0.03%,801320,0.18%
AD1,1032249,第一金全家福貨幣市場基金,0,0.00%,0,0.00%,0,0.00%,2703979,0.01%,2317695,0.01%,0,0.00%,144163,0.00%,5165837,0.02%
AD1,20081472,第一金台灣貨幣市場基金,0,0.00%,0,0.00%,0,0.00%,5980226,0.01%,4784178,0.01%,0,0.00%,458987,0.00%,11223391,0.02%
AA1,20092528,第一金店頭市場基金,116365,0.02%,222442,0.04%,0,0.00%,1324178,0.26%,124136,0.02%,0,0.00%,30779,0.01%,1817900,0.36%
AA1,73989002,第一金小型精選基金,226064,0.02%,433689,0.04%,0,0.00%,2779057,0.26%,260552,0.02%,0,0.00%,30754,0.00%,3730116,0.35%
AA1,19341318,第一金電子基金,2390081,0.08%,4046094,0.14%,0,0.00%,7697256,0.26%,721620,0.02%,0,0.00%,30774,0.00%,14885825,0.50%
AA2,17612378,第一金亞洲科技基金,214793,0.02%,114778,0.01%,0,0.00%,2517947,0.28%,374090,0.04%,0,0.00%,33944,0.00%,3255552,0.37%
AB1,99353151,第一金中概平衡基金,281296,0.05%,525658,0.09%,0,0.00%,1102478,0.19%,110249,0.02%,0,0.00%,30774,0.01%,2050455,0.36%
AG,48892846,第一金全球不動產證券化基金 (本基金之配息來源可能為本金或收益平準金),37315,0.03%,2326,0.00%,0,0.00%,344486,0.28%,45278,0.04%,0,0.00%,31536,0.03%,460941,0.38%
AA2,10338642,第一金全球大趨勢基金,283202,0.01%,159,0.00%,0,0.00%,4637662,0.22%,807206,0.04%,0,0.00%,33920,0.00%,5762149,0.28%
AC23,25593418,第一金全球非投資等級債券基金 (本基金之配息來源可能為本金),0,0.00%,0,0.00%,0,0.00%,4938196,0.24%,562570,0.03%,0,0.00%,33833,0.00%,5534599,0.27%
AA2,25620512,第一金中國世紀基金,202786,0.02%,79875,0.01%,0,0.00%,2831037,0.29%,393213,0.04%,0,0.00%,49840,0.01%,3556751,0.37%
AA2,25652648,第一金亞洲新興市場基金,0,0.00%,0,0.00%,0,0.00%,971258,0.30%,136505,0.04%,0,0.00%,48363,0.01%,1156126,0.36%
AA1,26202396,第一金創新趨勢基金,2994196,0.09%,4878937,0.15%,0,0.00%,8419282,0.26%,842429,0.03%,0,0.00%,30769,0.00%,17165613,0.53%
AA2,42399017,第一金全球AI機器人及自動化產業基金,65065,0.00%,105679,0.00%,0,0.00%,12285911,0.32%,1597161,0.04%,0,0.00%,27060,0.00%,14080876,0.37%
AA2,42455621,第一金全球AI FinTech金融科技基金,188960,0.02%,130,0.00%,0,0.00%,2462039,0.32%,320064,0.04%,0,0.00%,33924,0.00%,3005117,0.39%
AA2,42539761,第一金全球水電瓦斯及基礎建設收益基金 (本基金之配息來源可能為本金),2639500,0.03%,626308,0.01%,0,0.00%,29498688,0.28%,4427456,0.04%,0,0.00%,40194,0.00%,37232146,0.35%
AH11,72949242,第一金臺灣工業菁英30 ETF基金 (本基金配息來源可能為收益平準金),67920,0.00%,226010,0.01%,243950,0.01%,1138763,0.06%,99647,0.01%,0,0.00%,212847,0.01%,1501237,0.09%
AA2,72960196,第一金全球AI精準醫療基金,670487,0.03%,257325,0.01%,0,0.00%,7968315,0.32%,1115572,0.05%,0,0.00%,33921,0.00%,10045620,0.41%
AA2,73723123,第一金全球AI人工智慧基金,1305231,0.03%,224456,0.00%,0,0.00%,14235186,0.31%,1984300,0.04%,0,0.00%,33937,0.00%,17783110,0.39%
AH22,75970725,第一金彭博美國10年期以上金融債券指數ETF基金,0,0.00%,0,0.00%,0,0.00%,256593,0.03%,192447,0.02%,0,0.00%,138737,0.02%,587777,0.07%
AC21,76305220,第一金美國100大企業債券基金 (本基金有一定比重得投資於非投資等級之高風險債券且配息來源可能為本金),0,0.00%,0,0.00%,0,0.00%,9334429,0.15%,1997044,0.03%,0,0.00%,35114,0.00%,11366587,0.18%
