日期,NTD/USD,Date,Close,Adj Close,Dividends,Stock Splits
20080102,32.443,2008-01-02,32.443,32.443,0,0
20080103,32.431,2008-01-03,32.431,32.431,0,0
20080104,32.439,2008-01-04,32.439,32.439,0,0
20080107,32.466,2008-01-07,32.466,32.466,0,0
20080108,32.457,2008-01-08,32.457,32.457,0,0
20080109,32.466,2008-01-09,32.466,32.466,0,0
20080110,32.487,2008-01-10,32.487,32.487,0,0
20080111,32.466,2008-01-11,32.466,32.466,0,0
20080114,32.37,2008-01-14,32.37,32.37,0,0
20080115,32.26,2008-01-15,32.26,32.26,0,0
20080116,32.272,2008-01-16,32.272,32.272,0,0
20080117,32.278,2008-01-17,32.278,32.278,0,0
20080118,32.315,2008-01-18,32.315,32.315,0,0
20080121,32.348,2008-01-21,32.348,32.348,0,0
20080122,32.439,2008-01-22,32.439,32.439,0,0
20080123,32.405,2008-01-23,32.405,32.405,0,0
20080124,32.352,2008-01-24,32.352,32.352,0,0
20080125,32.3,2008-01-25,32.3,32.3,0,0
20080128,32.345,2008-01-28,32.345,32.345,0,0
20080129,32.314,2008-01-29,32.314,32.314,0,0
20080130,32.248,2008-01-30,32.248,32.248,0,0
20080131,32.198,2008-01-31,32.198,32.198,0,0
20080201,32.178,2008-02-01,32.178,32.178,0,0
20080204,32.07,2008-02-04,32.07,32.07,0,0
20080205,32.01,2008-02-05,32.01,32.01,0,0
20080212,31.884,2008-02-12,31.884,31.884,0,0
20080213,31.688,2008-02-13,31.688,31.688,0,0
20080214,31.7,2008-02-14,31.7,31.7,0,0
20080215,31.74,2008-02-15,31.74,31.74,0,0
20080218,31.746,2008-02-18,31.746,31.746,0,0
20080219,31.698,2008-02-19,31.698,31.698,0,0
20080220,31.648,2008-02-20,31.648,31.648,0,0
20080221,31.521,2008-02-21,31.521,31.521,0,0
20080222,31.495,2008-02-22,31.495,31.495,0,0
20080225,31.388,2008-02-25,31.388,31.388,0,0
20080226,31.21,2008-02-26,31.21,31.21,0,0
20080227,30.929,2008-02-27,30.929,30.929,0,0
20080229,30.95,2008-02-29,30.95,30.95,0,0
20080303,31.102,2008-03-03,31.102,31.102,0,0
20080304,30.95,2008-03-04,30.95,30.95,0,0
20080305,30.879,2008-03-05,30.879,30.879,0,0
20080306,30.748,2008-03-06,30.748,30.748,0,0
20080307,30.75,2008-03-07,30.75,30.75,0,0
20080310,30.658,2008-03-10,30.658,30.658,0,0
20080311,30.624,2008-03-11,30.624,30.624,0,0
20080312,30.69,2008-03-12,30.69,30.69,0,0
20080313,30.686,2008-03-13,30.686,30.686,0,0
20080314,30.744,2008-03-14,30.744,30.744,0,0
20080317,30.85,2008-03-17,30.85,30.85,0,0
20080318,30.747,2008-03-18,30.747,30.747,0,0
20080319,30.72,2008-03-19,30.72,30.72,0,0
20080320,30.692,2008-03-20,30.692,30.692,0,0
20080321,30.55,2008-03-21,30.55,30.55,0,0
