Date,Close,Adj Close,Dividends,Stock Splits
2026-04-30 00:00:00+08:00,54.65,54.65,0,0
2026-04-29 00:00:00+08:00,55.37,55.37,0,0
2026-04-28 00:00:00+08:00,55.89,55.89,0,0
2026-04-27 00:00:00+08:00,56.35,56.35,0,0
2026-04-26 00:00:00+08:00,,,0,0
2026-04-25 00:00:00+08:00,,,0,0
2026-04-24 00:00:00+08:00,54.98,54.98,0,0
2026-04-23 00:00:00+08:00,52.68,52.68,0,0
2026-04-22 00:00:00+08:00,52.57,52.57,0,0
2026-04-21 00:00:00+08:00,52.21,52.21,0,0
2026-04-20 00:00:00+08:00,51.23,51.23,0,0
2026-04-19 00:00:00+08:00,,,0,0
2026-04-18 00:00:00+08:00,,,0,0
2026-04-17 00:00:00+08:00,51.13,51.13,0,0
2026-04-16 00:00:00+08:00,51.93,51.93,0,0
2026-04-15 00:00:00+08:00,51.44,51.44,0,0
2026-04-14 00:00:00+08:00,50.75,50.75,0,0
2026-04-13 00:00:00+08:00,49.34,49.34,0,0
2026-04-12 00:00:00+08:00,,,0,0
2026-04-11 00:00:00+08:00,,,0,0
2026-04-10 00:00:00+08:00,49.44,49.44,0,0
2026-04-09 00:00:00+08:00,48.51,48.51,0,0
2026-04-08 00:00:00+08:00,48.39,48.39,0,0
2026-04-07 00:00:00+08:00,46.09,46.09,0,0
2026-04-06 00:00:00+08:00,,,0,0
2026-04-05 00:00:00+08:00,,,0,0
2026-04-04 00:00:00+08:00,,,0,0
2026-04-03 00:00:00+08:00,,,0,0
2026-04-02 00:00:00+08:00,45.07,45.07,0,0
2026-04-01 00:00:00+08:00,46.05,46.05,0,0
