日期,臺灣50指數,臺灣50報酬指數,Date,Close,Adj Close,Dividends,Stock Splits
104/09/01,"6,004.31","9,567.64",2015-09-01,6004.31,9567.64,0,0
104/09/02,"6,017.30","9,588.33",2015-09-02,6017.3,9588.33,0,0
104/09/03,"6,042.82","9,667.27",2015-09-03,6042.82,9667.27,0,0
104/09/04,"5,962.18","9,538.26",2015-09-04,5962.18,9538.26,0,0
104/09/07,"5,932.28","9,490.43",2015-09-07,5932.28,9490.43,0,0
104/09/08,"5,936.58","9,497.31",2015-09-08,5936.58,9497.31,0,0
104/09/09,"6,186.25","9,896.73",2015-09-09,6186.25,9896.73,0,0
104/09/10,"6,126.07","9,800.46",2015-09-10,6126.07,9800.46,0,0
104/09/11,"6,168.01","9,867.55",2015-09-11,6168.01,9867.55,0,0
104/09/14,"6,174.74","9,878.31",2015-09-14,6174.74,9878.31,0,0
104/09/15,"6,116.87","9,785.74",2015-09-15,6116.87,9785.74,0,0
104/09/16,"6,188.93","9,901.02",2015-09-16,6188.93,9901.02,0,0
104/09/17,"6,274.73","10,038.27",2015-09-17,6274.73,10038.27,0,0
104/09/18,"6,272.25","10,034.31",2015-09-18,6272.25,10034.31,0,0
104/09/21,"6,140.50","9,823.54",2015-09-21,6140.5,9823.54,0,0
104/09/22,"6,172.52","9,874.77",2015-09-22,6172.52,9874.77,0,0
104/09/23,"6,030.43","9,647.45",2015-09-23,6030.43,9647.45,0,0
104/09/24,"5,993.25","9,587.97",2015-09-24,5993.25,9587.97,0,0
104/09/25,"5,995.15","9,591.00",2015-09-25,5995.15,9591.0,0,0
104/09/29,"5,995.15","9,591.00",2015-09-29,5995.15,9591.0,0,0
104/09/30,"6,044.95","9,670.68",2015-09-30,6044.95,9670.68,0,0
