日期,臺灣中型100指數,臺灣中型100報酬指數,Date,Close,Adj Close,Dividends,Stock Splits
100/11/01,"6,594.02","8,588.42",2011-11-01,6594.02,8588.42,0,0
100/11/02,"6,592.00","8,585.78",2011-11-02,6592.0,8585.78,0,0
100/11/03,"6,458.68","8,412.15",2011-11-03,6458.68,8412.15,0,0
100/11/04,"6,621.73","8,624.50",2011-11-04,6621.73,8624.5,0,0
100/11/07,"6,623.29","8,626.54",2011-11-07,6623.29,8626.54,0,0
100/11/08,"6,595.12","8,589.85",2011-11-08,6595.12,8589.85,0,0
100/11/09,"6,551.66","8,533.25",2011-11-09,6551.66,8533.25,0,0
100/11/10,"6,279.02","8,178.14",2011-11-10,6279.02,8178.14,0,0
100/11/11,"6,315.27","8,225.36",2011-11-11,6315.27,8225.36,0,0
100/11/14,"6,437.71","8,384.84",2011-11-14,6437.71,8384.84,0,0
100/11/15,"6,382.98","8,313.55",2011-11-15,6382.98,8313.55,0,0
100/11/16,"6,294.81","8,198.71",2011-11-16,6294.81,8198.71,0,0
100/11/17,"6,293.37","8,196.83",2011-11-17,6293.37,8196.83,0,0
100/11/18,"6,160.31","8,023.52",2011-11-18,6160.31,8023.52,0,0
100/11/21,"5,941.09","7,738.00",2011-11-21,5941.09,7738.0,0,0
100/11/22,"5,882.24","7,661.36",2011-11-22,5882.24,7661.36,0,0
100/11/23,"5,691.08","7,412.38",2011-11-23,5691.08,7412.38,0,0
100/11/24,"5,774.23","7,520.68",2011-11-24,5774.23,7520.68,0,0
100/11/25,"5,701.55","7,426.01",2011-11-25,5701.55,7426.01,0,0
100/11/28,"5,784.94","7,534.63",2011-11-28,5784.94,7534.63,0,0
100/11/29,"5,879.22","7,657.42",2011-11-29,5879.22,7657.42,0,0
100/11/30,"5,760.81","7,503.20",2011-11-30,5760.81,7503.2,0,0
