日期,開盤指數,最高指數,最低指數,收盤指數,日　期,發行量加權股價報酬指數,Date,Open,High,Low,Close,Adj Close,Dividends,Stock Splits
107/12/03,"9,979.21","10,148.75","9,979.21","10,137.87",107/12/03,"18,086.85",2018-12-03,9979.21,10148.75,9979.21,10137.87,18086.85,0,0
107/12/04,"10,120.43","10,126.02","10,061.70","10,083.54",107/12/04,"17,989.93",2018-12-04,10120.43,10126.02,10061.7,10083.54,17989.93,0,0
107/12/05,"9,971.98","9,971.98","9,895.29","9,916.74",107/12/05,"17,692.34",2018-12-05,9971.98,9971.98,9895.29,9916.74,17692.34,0,0
107/12/06,"9,850.08","9,850.08","9,664.75","9,684.72",107/12/06,"17,278.40",2018-12-06,9850.08,9850.08,9664.75,9684.72,17278.4,0,0
107/12/07,"9,719.46","9,785.20","9,719.46","9,760.88",107/12/07,"17,414.27",2018-12-07,9719.46,9785.2,9719.46,9760.88,17414.27,0,0
107/12/10,"9,722.97","9,722.97","9,626.47","9,647.54",107/12/10,"17,212.06",2018-12-10,9722.97,9722.97,9626.47,9647.54,17212.06,0,0
107/12/11,"9,661.72","9,720.96","9,661.72","9,707.04",107/12/11,"17,318.22",2018-12-11,9661.72,9720.96,9661.72,9707.04,17318.22,0,0
107/12/12,"9,741.45","9,835.56","9,741.45","9,816.45",107/12/12,"17,513.41",2018-12-12,9741.45,9835.56,9741.45,9816.45,17513.41,0,0
107/12/13,"9,827.32","9,871.96","9,815.50","9,858.76",107/12/13,"17,588.89",2018-12-13,9827.32,9871.96,9815.5,9858.76,17588.89,0,0
107/12/14,"9,818.95","9,818.95","9,718.94","9,774.16",107/12/14,"17,437.96",2018-12-14,9818.95,9818.95,9718.94,9774.16,17437.96,0,0
107/12/17,"9,762.49","9,826.88","9,733.98","9,787.53",107/12/17,"17,461.81",2018-12-17,9762.49,9826.88,9733.98,9787.53,17461.81,0,0
107/12/18,"9,756.46","9,756.67","9,701.10","9,718.82",107/12/18,"17,339.23",2018-12-18,9756.46,9756.67,9701.1,9718.82,17339.23,0,0
107/12/19,"9,720.92","9,783.21","9,720.92","9,783.21",107/12/19,"17,454.11",2018-12-19,9720.92,9783.21,9720.92,9783.21,17454.11,0,0
107/12/20,"9,729.29","9,741.55","9,658.50","9,674.52",107/12/20,"17,260.20",2018-12-20,9729.29,9741.55,9658.5,9674.52,17260.2,0,0
107/12/21,"9,648.98","9,683.95","9,585.32","9,676.67",107/12/21,"17,264.04",2018-12-21,9648.98,9683.95,9585.32,9676.67,17264.04,0,0
107/12/22,"9,639.24","9,652.19","9,625.31","9,646.16",107/12/22,"17,209.60",2018-12-22,9639.24,9652.19,9625.31,9646.16,17209.6,0,0
107/12/24,"9,646.53","9,658.95","9,613.29","9,639.70",107/12/24,"17,198.08",2018-12-24,9646.53,9658.95,9613.29,9639.7,17198.08,0,0
107/12/25,"9,559.70","9,559.70","9,479.06","9,527.09",107/12/25,"16,997.17",2018-12-25,9559.7,9559.7,9479.06,9527.09,16997.17,0,0
107/12/26,"9,544.87","9,591.91","9,473.30","9,478.99",107/12/26,"16,911.35",2018-12-26,9544.87,9591.91,9473.3,9478.99,16911.35,0,0
107/12/27,"9,555.01","9,670.97","9,555.01","9,641.56",107/12/27,"17,201.40",2018-12-27,9555.01,9670.97,9555.01,9641.56,17201.4,0,0
107/12/28,"9,649.97","9,727.41","9,630.77","9,727.41",107/12/28,"17,354.55",2018-12-28,9649.97,9727.41,9630.77,9727.41,17354.55,0,0
