日期,開盤指數,最高指數,最低指數,收盤指數,發行量加權股價報酬指數,Date,Open,High,Low,Close,Adj Close,Dividends,Stock Splits
115/07/01,"46,234.70","47,293.10","46,234.70","47,018.99","107,781.17",2026-07-01,46234.7,47293.1,46234.7,47018.99,107781.17,0,0
115/07/02,"46,833.89","46,910.31","45,981.89","46,744.16","107,239.33",2026-07-02,46833.89,46910.31,45981.89,46744.16,107239.33,0,0
115/07/03,"46,545.14","46,948.83","45,880.69","46,780.62","107,344.35",2026-07-03,46545.14,46948.83,45880.69,46780.62,107344.35,0,0
115/07/06,"46,897.18","47,395.30","46,431.38","46,556.39","106,844.47",2026-07-06,46897.18,47395.3,46431.38,46556.39,106844.47,0,0
115/07/07,"46,537.34","46,967.04","45,432.02","45,479.11","104,408.51",2026-07-07,46537.34,46967.04,45432.02,45479.11,104408.51,0,0
115/07/08,"45,524.69","45,837.12","45,036.64","45,734.41","105,056.55",2026-07-08,45524.69,45837.12,45036.64,45734.41,105056.55,0,0
115/07/09,"45,805.62","46,064.06","45,352.41","45,354.61","104,241.44",2026-07-09,45805.62,46064.06,45352.41,45354.61,104241.44,0,0
115/07/13,"45,500.32","46,330.91","45,272.90","45,380.52","104,360.55",2026-07-13,45500.32,46330.91,45272.9,45380.52,104360.55,0,0
115/07/14,"45,364.40","45,364.40","43,654.04","44,737.95","102,902.72",2026-07-14,45364.4,45364.4,43654.04,44737.95,102902.72,0,0
115/07/15,"44,850.69","45,881.91","44,850.69","45,631.59","104,970.69",2026-07-15,44850.69,45881.91,44850.69,45631.59,104970.69,0,0
115/07/16,"45,511.98","45,855.02","44,970.64","45,624.98","105,017.85",2026-07-16,45511.98,45855.02,44970.64,45624.98,105017.85,0,0
115/07/17,"45,234.08","45,234.08","42,671.27","42,671.27","98,228.75",2026-07-17,45234.08,45234.08,42671.27,42671.27,98228.75,0,0
115/07/20,"42,793.15","43,084.51","41,967.75","42,449.70","97,721.96",2026-07-20,42793.15,43084.51,41967.75,42449.7,97721.96,0,0
115/07/21,"42,566.93","44,232.87","42,566.93","44,232.87","101,867.70",2026-07-21,42566.93,44232.87,42566.93,44232.87,101867.7,0,0
115/07/22,"44,513.75","45,323.75","44,513.75","44,825.78","103,240.18",2026-07-22,44513.75,45323.75,44513.75,44825.78,103240.18,0,0
