日期,臺灣高股息指數,臺灣高股息報酬指數,Date,Close,Adj Close,Dividends,Stock Splits
102/08/01,"5,698.28","8,895.59",2013-08-01,5698.28,8895.59,0,0
102/08/02,"5,698.48","8,895.90",2013-08-02,5698.48,8895.9,0,0
102/08/05,"5,707.96","8,910.70",2013-08-05,5707.96,8910.7,0,0
102/08/06,"5,652.77","8,824.55",2013-08-06,5652.77,8824.55,0,0
102/08/07,"5,553.25","8,685.20",2013-08-07,5553.25,8685.2,0,0
102/08/08,"5,555.37","8,702.49",2013-08-08,5555.37,8702.49,0,0
102/08/09,"5,514.18","8,637.97",2013-08-09,5514.18,8637.97,0,0
102/08/12,"5,558.86","8,707.97",2013-08-12,5558.86,8707.97,0,0
102/08/13,"5,616.07","8,807.16",2013-08-13,5616.07,8807.16,0,0
102/08/14,"5,584.32","8,757.37",2013-08-14,5584.32,8757.37,0,0
102/08/15,"5,517.96","8,669.51",2013-08-15,5517.96,8669.51,0,0
102/08/16,"5,525.04","8,680.64",2013-08-16,5525.04,8680.64,0,0
102/08/19,"5,491.26","8,627.57",2013-08-19,5491.26,8627.57,0,0
102/08/20,"5,429.06","8,529.84",2013-08-20,5429.06,8529.84,0,0
102/08/21,"5,429.06","8,529.84",2013-08-21,5429.06,8529.84,0,0
102/08/22,"5,397.41","8,480.12",2013-08-22,5397.41,8480.12,0,0
102/08/23,"5,435.59","8,540.10",2013-08-23,5435.59,8540.1,0,0
102/08/26,"5,457.42","8,574.40",2013-08-26,5457.42,8574.4,0,0
102/08/27,"5,423.69","8,521.41",2013-08-27,5423.69,8521.41,0,0
102/08/28,"5,425.33","8,526.20",2013-08-28,5425.33,8526.2,0,0
102/08/29,"5,460.79","8,594.39",2013-08-29,5460.79,8594.39,0,0
102/08/30,"5,543.11","8,723.96",2013-08-30,5543.11,8723.96,0,0
